lat,lon
47.7657998,-122.3388671
47.634545,-122.366872
47.367145,-122.150461
47.618711,-122.113831
47.683039,-122.113949
47.6923896,-122.3220423
47.634379,-122.107392
47.375235,-122.021985
47.481801,-121.718227
47.6779995,-122.2691983
47.747791,-122.2832098
47.656716,-122.279754
47.626724,-122.046019
47.5333533,-122.3649627
47.655016,-122.277808
47.422533,-122.1531
47.602204,-122.134002
47.327859,-122.191059
47.381539,-122.312819
47.487937,-121.786964
47.695388,-122.292099
47.57456,-122.134866
47.649775,-122.320826
47.741755,-122.205012
47.7010378,-122.3059328
47.353675,-122.30318
47.527393,-122.383622
47.6848563,-122.2008542
47.579257,-122.025363
47.683274,-122.400098
47.727436,-122.18125
47.7735293,-122.1580023
47.6824556,-122.2690527
47.753775,-122.324979
47.2611338,-122.1906807
47.325787,-122.377458
47.6643766,-122.3640368
47.349195,-122.034141
47.441909,-122.340255
47.57141,-122.408102
47.564297,-121.896779
47.461994,-122.19286
47.7351886,-122.327917
47.563117,-122.397154
47.5341954,-122.3602075
47.742647,-122.072147
47.463495,-121.990793
47.493789,-122.161187
47.669681,-122.39195
47.7233,-122.130734
47.463354,-121.987306
47.574614,-122.034526
47.674657,-122.295047
47.651782,-121.906085
47.769777,-122.222106
47.572523,-122.133134
47.270457,-122.069415
47.533707,-121.8597942
47.650557,-122.3830861
47.5484404,-122.3629717
47.514989,-121.869887
47.444912,-121.736591
47.5132634,-122.1097657
47.3358614,-122.0548931
47.490944,-122.143946
47.688326,-122.394786
47.482041,-122.016646
47.532368,-121.763268
47.7169507,-122.0261866
47.439528,-122.160901
47.265714,-122.216117
47.602935,-122.28901
47.603325,-122.289147
47.619979,-122.042904
47.689294,-122.159236
47.6632761,-122.3400362
47.619545,-122.291999
47.622705,-122.029086
47.585745,-122.169983
47.5493126,-121.9929266
47.568786,-122.087163
47.593533,-121.982123
47.526096,-122.26074
47.468794,-122.013022
47.730823,-122.227086
47.750465,-122.305976
47.62053,-122.293848
47.6945043,-122.1699487
